2026-07-14 18:00:14,147 | INFO     | 33dbe649-3cb3-4ab3-9afb-3623ac80b30d | circle-wallet-manager | wallet_service.py:176 | event=update_wallet_start id=21
2026-07-14 18:00:14,167 | INFO     | 33dbe649-3cb3-4ab3-9afb-3623ac80b30d | circle-wallet-manager | wallet_service.py:203 | event=update_wallet_success owner_id=2 wallet_id=21 updated_fields=['address', 'state']
2026-07-14 18:00:14,170 | INFO     | 33dbe649-3cb3-4ab3-9afb-3623ac80b30d | circle-wallet-manager | middleware.py:32 | event=http_request method=PUT path=/wallets/21 status=200 duration_ms=32.91 client=127.0.0.1
2026-07-14 18:01:34,344 | WARNING  | f6573138-af3d-490f-bfb4-17079e8f1e11 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=22 owner_id=2
2026-07-14 18:01:34,346 | INFO     | f6573138-af3d-490f-bfb4-17079e8f1e11 | circle-wallet-manager | middleware.py:32 | event=http_request method=PUT path=/wallets/22 status=404 duration_ms=11.43 client=127.0.0.1
2026-07-14 18:02:15,967 | INFO     | d0b2a924-b1b3-4972-b998-90aeacb35138 | circle-wallet-manager | wallet_service.py:176 | event=update_wallet_start id=21
2026-07-14 18:02:15,967 | INFO     | d0b2a924-b1b3-4972-b998-90aeacb35138 | circle-wallet-manager | wallet_service.py:203 | event=update_wallet_success owner_id=2 wallet_id=21 updated_fields=['address', 'state']
2026-07-14 18:02:15,967 | INFO     | d0b2a924-b1b3-4972-b998-90aeacb35138 | circle-wallet-manager | middleware.py:32 | event=http_request method=PUT path=/wallets/21 status=200 duration_ms=16.24 client=127.0.0.1
2026-07-15 17:25:01,736 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:25:34,769 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:26:47,064 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:26:57,174 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:30:08,059 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:32:33,911 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:32:37,656 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:32:40,639 | INFO     | 27f51023-90b9-4de0-b59c-71b0b30fec4c | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/docs status=200 duration_ms=3.29 client=127.0.0.1
2026-07-15 17:32:43,522 | INFO     | e3c0fed9-d792-47e3-b4cf-332dec41ce75 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/openapi.json status=200 duration_ms=173.12 client=127.0.0.1
2026-07-15 17:33:01,102 | INFO     | 75b00dcf-456d-4a26-9976-d60bb7aca7c2 | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:33:24,952 | INFO     | 66edf5b8-f7c3-4210-b919-bc3afbdee6c8 | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:33:32,319 | INFO     | 129a56cd-70e5-4eb9-8ac2-93eafb7f6dc7 | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:33:50,653 | INFO     | 0b8a89b0-7537-4332-b132-97d4ef51d85c | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:33:52,151 | INFO     | 492b7ebd-ec54-4672-b91d-e0e82330aaad | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:34:01,281 | INFO     | 85e605ee-602f-4a7a-982b-1acb226c8398 | circle-wallet-manager | user_service.py:159 | event=login_start username=user1
2026-07-15 17:34:04,878 | INFO     | 34f8f04b-10fc-411b-83d4-8fbdae0d3304 | circle-wallet-manager | user_service.py:159 | event=login_start username=user1
2026-07-15 17:34:51,107 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:34:54,370 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:35:10,846 | INFO     | 3de4d6a9-ccdb-49c8-95d4-e2ef0ff8f1d7 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/docs status=200 duration_ms=3.83 client=127.0.0.1
2026-07-15 17:35:13,358 | INFO     | 8a355beb-50a8-462d-bec1-baeddadbacd3 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/openapi.json status=200 duration_ms=172.95 client=127.0.0.1
2026-07-15 17:35:27,423 | INFO     | d3ca63d6-9d28-405f-97bc-eacd8f9974aa | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:57:49,422 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:57:52,264 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 17:58:00,449 | INFO     | 144a713c-51e2-4739-ba91-d9ef6416c62b | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/docs status=200 duration_ms=3.93 client=127.0.0.1
2026-07-15 17:58:02,971 | INFO     | 721c1476-288a-4c5d-8c07-ced46e99fd7c | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/openapi.json status=200 duration_ms=181.43 client=127.0.0.1
2026-07-15 17:58:17,033 | INFO     | f5ff25fe-226e-4ce0-95fb-a72e88290fd0 | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:58:17,253 | INFO     | f5ff25fe-226e-4ce0-95fb-a72e88290fd0 | circle-wallet-manager | user_service.py:197 | event=login_success user_id=1 username=admin
2026-07-15 17:58:17,253 | INFO     | f5ff25fe-226e-4ce0-95fb-a72e88290fd0 | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/auth/login status=200 duration_ms=235.43 client=127.0.0.1
2026-07-15 17:58:30,042 | INFO     | a0915ed0-dcc1-4acd-9136-2b73c5ef9396 | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 17:58:30,212 | INFO     | a0915ed0-dcc1-4acd-9136-2b73c5ef9396 | circle-wallet-manager | user_service.py:197 | event=login_success user_id=1 username=admin
2026-07-15 17:58:30,215 | INFO     | a0915ed0-dcc1-4acd-9136-2b73c5ef9396 | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/auth/login status=200 duration_ms=164.85 client=127.0.0.1
2026-07-15 17:58:53,170 | INFO     | c5617b00-a4aa-4624-97e6-e85cf77d926f | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/users status=403 duration_ms=12.40 client=127.0.0.1
2026-07-15 17:59:02,835 | INFO     | 0eca969c-7bcb-470b-9849-be4b3727fe78 | circle-wallet-manager | wallet_service.py:102 | event=list_wallets owner_id=1 count=3
2026-07-15 17:59:02,851 | INFO     | 0eca969c-7bcb-470b-9849-be4b3727fe78 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets status=200 duration_ms=19.24 client=127.0.0.1
2026-07-15 17:59:17,120 | WARNING  | f14e4f8f-7f63-4470-99fe-5146de0976ed | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=1 owner_id=1
2026-07-15 17:59:17,123 | INFO     | f14e4f8f-7f63-4470-99fe-5146de0976ed | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/1 status=404 duration_ms=13.63 client=127.0.0.1
2026-07-15 17:59:22,006 | WARNING  | bc6caa12-02a6-4f95-ad2c-c6a3ae94a587 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=2 owner_id=1
2026-07-15 17:59:22,009 | INFO     | bc6caa12-02a6-4f95-ad2c-c6a3ae94a587 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/2 status=404 duration_ms=11.16 client=127.0.0.1
2026-07-15 17:59:25,732 | WARNING  | f8eb54fc-3aa0-4df9-80e3-f3d58f530fc1 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=3 owner_id=1
2026-07-15 17:59:25,735 | INFO     | f8eb54fc-3aa0-4df9-80e3-f3d58f530fc1 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/3 status=404 duration_ms=9.93 client=127.0.0.1
2026-07-15 17:59:34,966 | WARNING  | 2525f687-02d7-48cd-84b8-0ba43c860aa4 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=4 owner_id=1
2026-07-15 17:59:34,969 | INFO     | 2525f687-02d7-48cd-84b8-0ba43c860aa4 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/4 status=404 duration_ms=10.09 client=127.0.0.1
2026-07-15 17:59:39,957 | WARNING  | 0ee715b4-6e4d-4851-950b-74b50075f3e5 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=5 owner_id=1
2026-07-15 17:59:39,958 | INFO     | 0ee715b4-6e4d-4851-950b-74b50075f3e5 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/5 status=404 duration_ms=9.99 client=127.0.0.1
2026-07-15 17:59:45,632 | WARNING  | 518f2a27-cb3f-4b4f-b229-14758863f623 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=6 owner_id=1
2026-07-15 17:59:45,632 | INFO     | 518f2a27-cb3f-4b4f-b229-14758863f623 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/6 status=404 duration_ms=10.11 client=127.0.0.1
2026-07-15 17:59:51,165 | WARNING  | f3289a09-7b36-40ec-abc6-afbf4b1623a6 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=7 owner_id=1
